name,Fungi_3,Fungi_4,Fungi_5,BSP_3,BSP_4,BSP_5
BnIKMc,.81 / .76,.75 / .74,.54 / .63,.85 / .87,.68 / .74,.50 / .57
BnIKMo,.81 / .76,.75 / .74,.56 / .65,.85 / .87,.71 / .79,.50 / .57
BnIKMcs,.81 / .76,.67 / .70,.49 / .58,.92 / .92,.71 / .79,.51 / .58
BnIKMos,.81 / .76,.64 / .69,.49 / .59,.92 / .92,.69 / .79,.50 / .57
BcIKMn,.47 / .53,.44 / .52,.43 / .54,.85 / .87,.64 / .69,.54 / .65
BcIKMo,.81 / .76,.78 / .77,.57 / .66,.85 / .87,.68 / .74,.68 / .77
BcIKMos,.81 / .76,.47 / .53,.50 / .62,.92 / .92,.64 / .69,.61 / .70
BoIKMn,.51 / .55,.42 / .51,.43 / .54,.78 / .78,.69 / .79,.49 / .62
BoIKMc,.81 / .76,.58 / .63,.43 / .55,.85 / .87,.68 / .75,.53 / .62
BoIKMcs,.64 / .62,.42 / .49,.34 / .49,.92 / .92,.72 / .79,.47 / .58
BnKMc,.81 / .76,.75 / .74,.50 / .60,.85 / .87,.68 / .74,.50 / .57
BnKMcs,.81 / .76,.67 / .70,.49 / .59,.92 / .92,.61 / .68,.50 / .57
BcKMn,.52 / .54,.64 / .69,.49 / .60,.73 / .75,.67 / .78,.57 / .70
BoKMn,.56 / .52,.44 / .52,.38 / .50,.73 / .75,.65 / .78,.51 / .65
BoKMc,.81 / .76,.59 / .60,.38 / .50,.85 / .87,.72 / .79,.53 / .62
BnKMcs,.55 / .58,.45 / .52,.38 / .50,.92 / .92,.65 / .70,.51 / .64
