index,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,(P.MED_TOT_BIBL_TRABALHO),(P.MED_TOT_BIBL),(P.MED_TOT_ORIE_CONC),(P.MED_TOT_DEMAIS),(P.MED_TOT_OUTRAS),(P.MED_TOT_TECN)
0,Ciências Biológicas,Biofísica,"[0.0, 3.0]","[1.25, 15.25]","[0.0, 4.0]","[0.667, 11.0]","[0.667, 11.125]","[0.0, 6.375]"
1,Ciências Biológicas,Zoologia,"[0.0, 1.0]","[1.0, 17.875]","[0.0, 5.125]","[0.5, 13.625]","[0.5, 13.625]","[0.0, 8.0]"
2,Ciências Biológicas,Parasitologia,"[0.0, 1.0]","[1.0, 16.5]","[0.0, 4.75]","[0.333, 13.75]","[0.333, 13.75]","[0.0, 6.25]"
3,Ciências Biológicas,Morfologia,"[0.0, 1.25]","[1.0, 16.25]","[0.0, 4.75]","[1.0, 16.25]","[1.0, 17.25]","[0.0, 7.25]"
4,Ciências Biológicas,Imunologia,"[0.0, 1.0]","[1.0, 17.5]","[0.0, 4.5]","[0.5, 17.25]","[0.5, 17.25]","[0.0, 8.5]"
5,Ciências Biológicas,Genética,"[0.0, 2.0]","[0.875, 23.75]","[0.0, 5.75]","[0.5, 17.625]","[0.5, 17.625]","[0.0, 9.5]"
6,Ciências Biológicas,Microbiologia,"[0.0, 1.75]","[1.0, 17.25]","[0.0, 5.75]","[0.5, 15.25]","[0.5, 15.25]","[0.0, 6.0]"
7,Ciências Biológicas,Farmacologia,"[0.0, 1.0]","[0.75, 18.75]","[0.0, 5.75]","[0.417, 15.875]","[0.417, 15.875]","[0.0, 7.375]"
8,Ciências Biológicas,Ecologia,"[0.0, 2.25]","[0.333, 16.0]","[0.0, 6.25]","[0.25, 15.0]","[0.25, 15.0]","[0.0, 8.25]"
9,Ciências Biológicas,Botânica,"[0.0, 1.25]","[0.75, 17.75]","[0.0, 5.0]","[0.75, 14.75]","[0.75, 14.75]","[0.0, 7.0]"
