index,genera,name,spores 1d,spores 2d,pileus width,stipes long,stipes thick
0,Agaricus  ,Agaricus moronii,"[0.06, 0.075]","[0.04, 0.05]","[600.0, 1200.0]","[200.0, 700.0]","[150.0, 300.0]"
1,Agaricus  ,Agaricus xanthodermus,"[0.05, 0.06]","[0.04, 0.055]","[500.0, 1700.0]","[400.0, 1400.0]","[100.0, 350.0]"
2,Agaricus  ,Agaricus subrutilescens,"[0.04, 0.06]","[0.035, 0.045]","[600.0, 1400.0]","[600.0, 1600.0]","[100.0, 200.0]"
3,Agaricus  ,Agaricus smithianus,"[0.07, 0.09]","[0.05, 0.055]","[700.0, 1200.0]","[500.0, 1200.0]","[200.0, 300.0]"
4,Agaricus  ,Agaricus sylvicola,"[0.055, 0.065]","[0.035, 0.04]","[600.0, 1200.0]","[600.0, 1200.0]","[150.0, 200.0]"
5,Agaricus  ,Agaricus semotus,"[0.045, 0.055]","[0.03, 0.035]","[200.0, 600.0]","[300.0, 700.0]","[40.0, 80.0]"
6,Agaricus  ,Agaricus perobscurus,"[0.065, 0.08]","[0.045, 0.05]","[800.0, 1200.0]","[600.0, 1200.0]","[150.0, 200.0]"
7,Agaricus  ,Agaricus pattersonae,"[0.07, 0.09]","[0.06, 0.065]","[500.0, 1500.0]","[600.0, 1500.0]","[250.0, 350.0]"
8,Agaricus  ,Agaricus micromegathus,"[0.045, 0.05]","[0.03, 0.035]","[250.0, 400.0]","[250.0, 450.0]","[40.0, 70.0]"
9,Agaricus  ,Agaricus lilaceps,"[0.05, 0.065]","[0.04, 0.05]","[800.0, 2000.0]","[900.0, 1900.0]","[300.0, 500.0]"
10,Agaricus  ,Agaricus fuscovelatus,"[0.07, 0.08]","[0.05, 0.06]","[350.0, 800.0]","[400.0, 1000.0]","[100.0, 200.0]"
11,Agaricus  ,Agaricus diminutivus,"[0.04, 0.05]","[0.03, 0.04]","[150.0, 250.0]","[300.0, 600.0]","[25.0, 35.0]"
12,Agaricus  ,Agaricus deardorffensis,"[0.04, 0.06]","[0.035, 0.045]","[700.0, 1900.0]","[800.0, 1500.0]","[200.0, 350.0]"
13,Agaricus  ,Agaricus hondensis,"[0.04, 0.06]","[0.03, 0.045]","[700.0, 1400.0]","[800.0, 1400.0]","[150.0, 250.0]"
14,Agaricus  ,Agaricus comtulus,"[0.04, 0.05]","[0.03, 0.035]","[250.0, 400.0]","[300.0, 500.0]","[40.0, 70.0]"
15,Agaricus  ,Agaricus arorae,"[0.045, 0.05]","[0.03, 0.035]","[300.0, 800.0]","[400.0, 900.0]","[50.0, 250.0]"
16,Agaricus  ,Agaricus fissuratus,"[0.065, 0.09]","[0.045, 0.06]","[600.0, 2100.0]","[400.0, 1400.0]","[100.0, 350.0]"
17,Agaricus  ,Agaricus incultorum,"[0.07, 0.08]","[0.05, 0.06]","[250.0, 600.0]","[150.0, 350.0]","[100.0, 150.0]"
18,Agaricus  ,Agaricus benesii,"[0.05, 0.06]","[0.03, 0.04]","[400.0, 800.0]","[500.0, 1100.0]","[100.0, 200.0]"
19,Agaricus  ,Agaricus bernardii,"[0.055, 0.07]","[0.055, 0.065]","[700.0, 1600.0]","[400.0, 700.0]","[300.0, 450.0]"
20,Agaricus  ,Agaricus augustus,"[0.075, 0.105]","[0.05, 0.065]","[600.0, 3200.0]","[1000.0, 3700.0]","[600.0, 600.0]"
21,Agaricus  ,Agaricus subrufescens,"[0.055, 0.065]","[0.04, 0.045]","[600.0, 1300.0]","[600.0, 1200.0]","[150.0, 250.0]"
22,Agaricus  ,Agaricus brunneofibrillosus,"[0.05, 0.065]","[0.035, 0.04]","[400.0, 1500.0]","[400.0, 1500.0]","[150.0, 250.0]"
23,Agaricus  ,Agaricus californicus,"[0.05, 0.075]","[0.04, 0.055]","[400.0, 1100.0]","[300.0, 700.0]","[40.0, 100.0]"
24,Agaricus  ,Agaricus campestris,"[0.055, 0.08]","[0.035, 0.05]","[500.0, 1000.0]","[300.0, 600.0]","[100.0, 200.0]"
25,Agaricus  ,Agaricus bitorquis,"[0.05, 0.065]","[0.04, 0.055]","[500.0, 1500.0]","[400.0, 1000.0]","[200.0, 400.0]"
26,Amanita  ,Amanita pachycolea,"[0.115, 0.14]","[0.1, 0.12]","[800.0, 1800.0]","[1000.0, 2500.0]","[100.0, 300.0]"
27,Amanita  ,Amanita vernicoccora,"[0.09, 0.12]","[0.06, 0.08]","[800.0, 2000.0]","[700.0, 2500.0]","[400.0, 400.0]"
28,Amanita  ,Amanita velosa,"[0.085, 0.12]","[0.07, 0.11]","[500.0, 1100.0]","[400.0, 1100.0]","[100.0, 250.0]"
29,Amanita  ,Amanita vaginata,"[0.08, 0.115]","[0.075, 0.1]","[550.0, 1000.0]","[600.0, 1300.0]","[120.0, 200.0]"
30,Amanita  ,Amanita smithiana,"[0.105, 0.12]","[0.065, 0.09]","[700.0, 1400.0]","[700.0, 1700.0]","[200.0, 400.0]"
31,Amanita  ,Amanita phalloides,"[0.07, 0.12]","[0.06, 0.1]","[350.0, 1500.0]","[400.0, 1800.0]","[100.0, 300.0]"
32,Amanita  ,Amanita pantherina,"[0.095, 0.13]","[0.07, 0.095]","[400.0, 1500.0]","[700.0, 1100.0]","[100.0, 250.0]"
33,Amanita  ,Amanita ocreata,"[0.09, 0.125]","[0.07, 0.09]","[500.0, 1300.0]","[1000.0, 2200.0]","[150.0, 300.0]"
34,Amanita  ,Amanita constricta,"[0.095, 0.095]","[0.115, 0.115]","[600.0, 1200.0]","[900.0, 1700.0]","[100.0, 200.0]"
35,Amanita  ,Amanita muscaria,"[0.09, 0.13]","[0.065, 0.095]","[600.0, 3900.0]","[700.0, 1600.0]","[200.0, 300.0]"
36,Amanita  ,Amanita gemmata,"[0.08, 0.13]","[0.065, 0.09]","[300.0, 1100.0]","[400.0, 1400.0]","[100.0, 200.0]"
37,Amanita  ,Amanita calyptratoides,"[0.098, 0.14]","[0.065, 0.08900000000000001]","[300.0, 1000.0]","[500.0, 1450.0]","[60.0, 200.0]"
38,Amanita  ,Amanita calyptroderma,"[0.08, 0.11]","[0.05, 0.06]","[800.0, 2500.0]","[1000.0, 2000.0]","[150.0, 400.0]"
39,Amanita  ,Amanita augusta,"[0.08, 0.12]","[0.06, 0.08]","[400.0, 1200.0]","[500.0, 1500.0]","[100.0, 200.0]"
40,Amanita  ,Amanita aprica,"[0.08, 0.13]","[0.06, 0.085]","[500.0, 1500.0]","[350.0, 900.0]","[350.0, 350.0]"
41,Amanita  ,Amanita novinupta,"[0.07, 0.085]","[0.055, 0.06]","[500.0, 1400.0]","[600.0, 1200.0]","[150.0, 350.0]"
42,Boletus  ,Xerocomus subtomentosus,"[0.1, 0.15]","[0.04, 0.05]","[400.0, 1200.0]","[400.0, 800.0]","[100.0, 200.0]"
43,Boletus  ,Boletus smithii,"[0.135, 0.135]","[0.16, 0.16]","[700.0, 1500.0]","[700.0, 1500.0]","[350.0, 700.0]"
44,Boletus  ,Caloboletus rubripes,"[0.12, 0.165]","[0.045, 0.055]","[600.0, 1600.0]","[600.0, 1500.0]","[300.0, 500.0]"
45,Boletus  ,Butyriboletus autumniregius,"[0.13, 0.155]","[0.04, 0.05]","[800.0, 1500.0]","[500.0, 900.0]","[300.0, 400.0]"
46,Boletus  ,Rubroboletus pulcherrimus,"[0.13, 0.155]","[0.05, 0.06]","[900.0, 1700.0]","[700.0, 1400.0]","[800.0, 800.0]"
47,Boletus  ,../species/Boletus rex-veris.html,"[0.125, 0.18]","[0.04, 0.05]","[900.0, 1800.0]","[500.0, 1000.0]","[200.0, 600.0]"
48,Boletus  ,Boletus orovillus,"[0.055, 0.065]","[0.035, 0.04]","[800.0, 1500.0]","[500.0, 900.0]","[250.0, 450.0]"
49,Boletus  ,Caloboletus frustosus,"[0.11, 0.14]","[0.04, 0.05]","[700.0, 1500.0]","[500.0, 1000.0]","[250.0, 350.0]"
50,Boletus  ,Xerocomellus diffractus,"[0.115, 0.14]","[0.04, 0.06]","[400.0, 900.0]","[500.0, 1000.0]","[100.0, 150.0]"
51,Boletus  ,Rubroboletus eastwoodiae,"[0.11, 0.15]","[0.035, 0.06]","[1000.0, 2200.0]","[700.0, 1400.0]","[1300.0, 1300.0]"
52,Boletus  ,Xerocomellus dryophilus,"[0.115, 0.16]","[0.05, 0.065]","[400.0, 1200.0]","[400.0, 800.0]","[100.0, 250.0]"
53,Boletus  ,Butyriboletus persolidus,"[0.115, 0.135]","[0.035, 0.045]","[700.0, 1400.0]","[500.0, 900.0]","[300.0, 600.0]"
54,Boletus  ,Suillellus amygdalinus,"[0.11, 0.14]","[0.05, 0.065]","[400.0, 1000.0]","[400.0, 700.0]","[150.0, 300.0]"
55,Boletus  ,Boletus regineus,"[0.115, 0.135]","[0.035, 0.045]","[700.0, 1400.0]","[700.0, 1300.0]","[300.0, 400.0]"
56,Boletus  ,Aureoboletus flaviporus,"[0.12, 0.15]","[0.05, 0.06]","[600.0, 1100.0]","[600.0, 1200.0]","[100.0, 200.0]"
57,Boletus  ,Aureoboletus citriniporus,"[0.12, 0.135]","[0.0375, 0.045]","[400.0, 800.0]","[400.0, 700.0]","[100.0, 300.0]"
58,Boletus  ,Xerocomellus mendocinensis,"[0.12, 0.15]","[0.045, 0.06]","[500.0, 1000.0]","[500.0, 1000.0]","[150.0, 250.0]"
